State,county,fips,State_FIPS,Dvote,Rvote,Ovote,Dpercent,Rpercent,Opercent,total,Winner,difference,party,unemployment
CA,Imperial County,6025,6,"17,964","15,890",420,52.4,46.4,1.2,34274,Kerry,6,Democrat,17
AZ,Yuma County,4027,4,"16,032","22,184",249,41.7,57.7,0.6,38465,Bush,16,Republican,15.8
NM,Luna County,35029,35,"3,340","4,164",89,44,54.8,1.2,7593,Bush,10.8,Republican,15.5
TX,Maverick County,48323,48,"5,948","4,025",61,59.3,40.1,0.6,10034,Kerry,19.2,Democrat,14.7
TX,Starr County,48427,48,"7,199","2,552",30,73.6,26.1,0.3,9781,Kerry,47.5,Democrat,14.3
TX,Presidio County,48377,48,"1,159",715,16,61.3,37.8,0.8,1890,Kerry,23.5,Democrat,14.1
LA,East Carroll Parish,22035,22,"1,980","1,357",58,58.3,40,1.7,3395,Kerry,18.3,Democrat,13.7
CA,Colusa County,6011,6,"1,947","4,142",77,31.6,67.2,1.2,6166,Bush,35.6,Republican,13.6
SC,Marion County,45067,45,"7,767","5,589",151,57.5,41.4,1.1,13507,Kerry,16.1,Democrat,13.5
MS,Jefferson County,28063,28,"2,821",630,15,81.4,18.2,0.4,3466,Kerry,63.2,Democrat,13.2
LA,West Carroll Parish,22123,22,"1,231","3,740",62,24.5,74.3,1.2,5033,Bush,49.8,Republican,13
SC,Marlboro County,45069,45,"4,984","3,423",153,58.2,40,1.8,8560,Kerry,18.2,Democrat,13
KY,Magoffin County,21153,21,"2,843","2,836",39,49.7,49.6,0.7,5718,Kerry,0.1,Democrat,12.6
TX,Zavala County,48507,48,"2,332",777,9,74.8,24.9,0.3,3118,Kerry,49.9,Democrat,12.4
VA,Martinsville City,51690,51,"3,036","2,538",29,54.2,45.3,0.5,5603,Kerry,8.9,Democrat,12.4
AL,Wilcox County,1131,1,"3,838","1,834",10,67.5,32.3,0.2,5682,Kerry,35.2,Democrat,12.1
MI,Montmorency County,26119,26,"2,196","3,300",67,39.5,59.3,1.2,5563,Bush,19.8,Republican,12.1
SC,Union County,45087,45,"5,236","6,592",106,43.9,55.2,0.9,11934,Bush,11.3,Republican,12.1
MS,Noxubee County,28103,28,"4,346","1,723",28,71.3,28.3,0.5,6097,Kerry,43,Democrat,12
SC,Williamsburg County,45089,45,"9,044","4,795",79,65,34.5,0.6,13918,Kerry,30.5,Democrat,12
ID,Adams County,16003,16,555,"1,468",40,26.9,71.2,1.9,2063,Bush,44.3,Republican,11.9
AL,Bullock County,1011,1,"3,210","1,494",13,68.1,31.7,0.3,4717,Kerry,36.4,Democrat,11.6
CA,Tulare County,6107,6,"32,494","65,399",967,32.9,66.2,1,98860,Bush,33.3,Republican,11.6
AZ,Apache County,4001,4,"15,658","8,384",156,64.7,34.6,0.6,24198,Kerry,30.1,Democrat,11.5
MI,Baraga County,26013,26,"1,660","1,977",47,45.1,53.7,1.3,3684,Bush,8.6,Republican,11.4
MI,Keweenaw County,26083,26,630,781,28,43.8,54.3,1.9,1439,Bush,10.5,Republican,11.4
MI,Presque Isle County,26141,26,"3,432","3,982",102,45.7,53,1.4,7516,Bush,7.3,Republican,11.4
AR,Lee County,5077,5,"2,548","1,492",40,62.5,36.6,1,4080,Kerry,25.9,Democrat,11.3
OH,Monroe County,39111,39,"4,243","3,424",62,54.9,44.3,0.8,7729,Kerry,10.6,Democrat,11.3
OH,Meigs County,39105,39,"4,438","6,272",61,41.2,58.2,0.6,10771,Bush,17,Republican,11.2
TX,Sabine County,48403,48,"1,476","3,138",25,31.8,67.6,0.5,4639,Bush,35.8,Republican,11.2
TX,Willacy County,48489,48,"2,734","2,209",19,55.1,44.5,0.4,4962,Kerry,10.6,Democrat,11.2
SC,McCormick County,45065,45,"2,648","2,396",78,51.7,46.8,1.5,5122,Kerry,4.9,Democrat,11.1
SD,Buffalo County,46017,46,603,223,15,71.7,26.5,1.8,841,Kerry,45.2,Democrat,11.1
WI,Menominee County,55078,55,"1,412",288,10,82.6,16.8,0.6,1710,Kerry,65.8,Democrat,11.1
AR,Chicot County,5017,5,"2,993","1,725",39,62.9,36.3,0.8,4757,Kerry,26.6,Democrat,11
CA,Kings County,6031,6,"10,833","21,003",274,33.7,65.4,0.9,32110,Bush,31.7,Republican,11
MI,Oscoda County,26135,26,"1,792","2,570",47,40.6,58.3,1.1,4409,Bush,17.7,Republican,11
MN,Clearwater County,27029,27,"1,871","2,438",52,42.9,55.9,1.2,4361,Bush,13,Republican,11
MS,Holmes County,28051,28,"6,366","1,961",56,75.9,23.4,0.7,8383,Kerry,52.5,Democrat,11
CA,Merced County,6047,6,"24,491","32,773",696,42.3,56.5,1.2,57960,Bush,14.2,Republican,10.9
CA,Trinity County,6105,6,"2,782","3,560",171,42.7,54.7,2.6,6513,Bush,12,Republican,10.9
MI,Alcona County,26001,26,"2,871","3,592",68,44,55,1,6531,Bush,11,Republican,10.9
MI,Schoolcraft County,26153,26,"2,137","2,267",37,48.1,51,0.8,4441,Bush,2.9,Republican,10.9
OH,Morgan County,39115,39,"2,875","3,758",70,42.9,56.1,1,6703,Bush,13.2,Republican,10.9
WA,Ferry County,53019,53,"1,201","2,019",121,35.9,60.4,3.6,3341,Bush,24.5,Republican,10.9
NM,Mora County,35033,35,"1,876",928,22,66.4,32.8,0.8,2826,Kerry,33.6,Democrat,10.8
NC,Scotland County,37165,37,"6,386","5,141",20,55.3,44.5,0.2,11547,Kerry,10.8,Democrat,10.7
OH,Pike County,39131,39,"5,989","6,520",67,47.6,51.8,0.5,12576,Bush,4.2,Republican,10.7
CA,Sutter County,6101,6,"9,602","20,254",289,31.9,67.2,1,30145,Bush,35.3,Republican,10.6
CO,Costilla County,8023,8,"1,170",566,24,66.5,32.2,1.4,1760,Kerry,34.3,Democrat,10.6
GA,Stewart County,13259,13,"1,220",797,14,60.1,39.2,0.7,2031,Kerry,20.9,Democrat,10.6
MI,Lake County,26085,26,"2,675","2,503",68,51,47.7,1.3,5246,Kerry,3.3,Democrat,10.6
MS,Sharkey County,28125,28,"1,560","1,120",413,50.4,36.2,13.4,3093,Kerry,14.2,Democrat,10.6
TX,Newton County,48351,48,"2,513","3,159",28,44.1,55.4,0.5,5700,Bush,11.3,Republican,10.6
CA,Fresno County,6019,6,"103,154","141,988","2,321",41.7,57.4,0.9,247463,Bush,15.7,Republican,10.4
MI,Gladwin County,26051,26,"6,343","6,770",114,48,51.2,0.9,13227,Bush,3.2,Republican,10.4
MS,Claiborne County,28021,28,"4,362",950,43,81.5,17.7,0.8,5355,Kerry,63.8,Democrat,10.4
