State,County,FIPS,State_FIPS,Dvote,Rvote,Ovote,Dpercent,Rpercent,Opercent,Total,Winner,Difference,Party,Year
AK,"State House District 8, Denali-University",2008,2,"5,758","6,615",569,44.5,51.1,4.4,12942,Bush,6.6,Republican,2004
AK,"State House District 37, Bristol Bay-Aleuti",2037,2,"5,208","3,046",192,61.7,36,2.3,8446,Kerry,25.7,Democrat,2004
AK,"State House District 12, Richardson-Glenn H",2012,2,"3,387","8,108",350,28.5,68.5,3,11845,Bush,40,Republican,2004
AK,"State House District 13, Greater Palmer",2013,2,"4,819","10,702",491,30.1,66.8,3.1,16012,Bush,36.7,Republican,2004
AK,"State House District 14, Greater Wasilla",2014,2,"4,403","10,717",428,28.3,68.9,2.8,15548,Bush,40.6,Republican,2004
AK,"State House District 16, Chugiak-South Mat-",2016,2,"4,791","10,587",472,30.2,66.7,3.1,15850,Bush,36.5,Republican,2004
AK,"State House District 15, Rural Mat-Su",2015,2,"4,766","10,058",576,30.9,65.3,3.8,15400,Bush,34.4,Republican,2004
AK,"State House District 39, Bering Straits",2039,2,"2,365","2,881",322,42.5,51.7,5.8,5568,Bush,9.2,Republican,2004
AK,"State House District 40, Arctic",2040,2,"2,328","3,217",243,40.2,55.6,4.2,5788,Bush,15.4,Republican,2004
AK,"State House District 2, Sitka-Wrangell-Pete",2002,2,"4,961","5,943",498,43.5,52.1,4.4,11402,Bush,8.6,Republican,2004
AK,"State House District 3, Juneau-Downtown-Dou",2003,2,"6,513","4,790",445,55.4,40.8,3.8,11748,Kerry,14.6,Democrat,2004
AK,"State House District 4, Juneau-Mendenhall V",2004,2,"4,768","5,802",417,43.4,52.8,3.8,10987,Bush,9.4,Republican,2004
AK,"State House District 6, Interior Villages",2006,2,"3,728","6,177",405,36.2,60,3.8,10310,Bush,23.8,Republican,2004
AK,"State House District 17, Eagle River",2017,2,"4,646","10,491",373,30,67.6,2.4,15510,Bush,37.6,Republican,2004
AK,"State House District 31, Huffman-Ocean View",2031,2,"5,315","9,605",350,34.8,62.9,2.3,15270,Bush,28.1,Republican,2004
AK,"State House District 25, East Spenard",2025,2,"5,435","6,892",451,42.5,54,3.5,12778,Bush,11.5,Republican,2004
AK,"State House District 18, Military",2018,2,"4,193","8,424",270,32.5,65.4,2.1,12887,Bush,32.9,Republican,2004
AK,"State House District 29, Campbell-Independe",2029,2,"4,546","7,743",341,36,61.3,2.7,12630,Bush,25.3,Republican,2004
AK,"State House District 30, Lore-Abbott",2030,2,"5,181","8,733",359,36.3,61.2,2.5,14273,Bush,24.9,Republican,2004
AK,"State House District 24, Midtown-Taku",2024,2,"5,226","7,622",403,39.4,57.5,3.1,13251,Bush,18.1,Republican,2004
AK,"State House District 20, Mountain View-Wond",2020,2,"4,465","6,632",383,38.9,57.8,3.3,11480,Bush,18.9,Republican,2004
AK,"State House District 22, University-Airport",2022,2,"5,426","7,207",402,41.6,55.3,3.1,13035,Bush,13.7,Republican,2004
AK,"State House District 27, Sand Lake",2027,2,"5,212","8,500",400,37,60.2,2.8,14112,Bush,23.2,Republican,2004
AK,"State House District 21, Baxter Bog",2021,2,"5,488","8,818",365,37.4,60.1,2.5,14671,Bush,22.7,Republican,2004
AK,"State House District 23, Downtown-Rogers Pa",2023,2,"5,991","6,576",418,46.1,50.7,3.2,12985,Bush,4.6,Republican,2004
AK,"State House District 28, Bayshore-Klatt",2028,2,"5,141","9,073",363,35.3,62.2,2.5,14577,Bush,26.9,Republican,2004
AK,"State House District 32, Chugach State Park",2032,2,"6,580","9,783",447,39.1,58.2,2.7,16810,Bush,19.1,Republican,2004
AK,"State House District 19, Muldoon",2019,2,"5,061","8,014",383,37.6,59.6,2.8,13458,Bush,22,Republican,2004
AK,"State House District 26, Turnagain-Inlet Vi",2026,2,"6,476","7,776",430,44.1,52.9,3,14682,Bush,8.8,Republican,2004
AK,"State House District 36, Kodiak",2036,2,"3,245","5,645",351,35.1,61.1,3.8,9241,Bush,26,Republican,2004
AK,"State House District 38, Bethel",2038,2,"2,366","2,459",250,46.6,48.5,4.9,5075,Bush,1.9,Republican,2004
AK,"State House District 33, Kenai-Soldotna",2033,2,"3,192","7,344",402,29.2,67.1,3.7,10938,Bush,37.9,Republican,2004
AK,"State House District 35, Homer-Seward",2035,2,"5,030","6,007",534,43.5,51.9,4.6,11571,Bush,8.4,Republican,2004
AK,"State House District 34, Rural Kenai",2034,2,"3,033","7,886",434,26.7,69.5,3.8,11353,Bush,42.8,Republican,2004
AK,"State House District 9, City of Fairbanks",2009,2,"4,177","6,934",375,36.4,60.3,3.3,11486,Bush,23.9,Republican,2004
AK,"State House District 10, Fairbanks-Fort Wai",2010,2,"3,670","6,745",335,34.1,62.8,3.1,10750,Bush,28.7,Republican,2004
AK,"State House District 11, North Pole",2011,2,"3,364","9,280",381,25.8,71.2,3,13025,Bush,45.4,Republican,2004
