State,County,FIPS,State_FIPS,Dvote,Rvote,Ovote,Dpercent,Rpercent,Opercent,Total,Winner,Difference,Party
AK,"State House District 8, Denali-University",2008,2,"4,995","4,983",342,48.4,48.28,3.31,10320,Obama,0.12,Democrat
AK,"State House District 37, Bristol Bay-Aleuti",2037,2,"1,868","2,661",136,40.04,57.04,2.92,4665,McCain,17,Republican
AK,"State House District 12, Richardson-Glenn H",2012,2,"1,914","5,467",208,25.22,72.04,2.74,7589,McCain,46.82,Republican
AK,"State House District 13, Greater Palmer",2013,2,"2,800","8,432",294,24.29,73.16,2.55,11526,McCain,48.87,Republican
AK,"State House District 14, Greater Wasilla",2014,2,"2,132","8,108",216,20.39,77.54,2.07,10456,McCain,57.15,Republican
AK,"State House District 16, Chugiak-South Mat-",2016,2,"2,636","7,774",287,24.64,72.67,2.68,10697,McCain,48.03,Republican
AK,"State House District 15, Rural Mat-Su",2015,2,"2,510","8,227",349,22.64,74.21,3.15,11086,McCain,51.57,Republican
AK,"State House District 39, Bering Straits",2039,2,"2,695","2,323",166,51.99,44.81,3.2,5184,Obama,7.18,Democrat
AK,"State House District 40, Arctic",2040,2,"2,137","2,686",177,42.74,53.72,3.54,5000,McCain,10.98,Republican
AK,"State House District 2, Sitka-Wrangell-Pete",2002,2,"3,468","4,029",238,44.84,52.09,3.08,7735,McCain,7.25,Republican
AK,"State House District 3, Juneau-Downtown-Dou",2003,2,"5,657","2,829",281,64.53,32.27,3.21,8767,Obama,32.26,Democrat
AK,"State House District 4, Juneau-Mendenhall V",2004,2,"4,161","4,302",273,47.63,49.24,3.13,8736,McCain,1.61,Republican
AK,"State House District 6, Interior Villages",2006,2,"2,351","4,234",239,34.45,62.05,3.5,6824,McCain,27.6,Republican
AK,"State House District 17, Eagle River",2017,2,"2,645","6,621",182,28,70.08,1.93,9448,McCain,42.08,Republican
AK,"State House District 31, Huffman-Ocean View",2031,2,"3,596","6,419",205,35.19,62.81,2.01,10220,McCain,27.62,Republican
AK,"State House District 25, East Spenard",2025,2,"3,233","3,042",168,50.18,47.21,2.61,6443,Obama,2.97,Democrat
AK,"State House District 18, Military",2018,2,"2,046","4,252",113,31.91,66.32,1.76,6411,McCain,34.41,Republican
AK,"State House District 29, Campbell-Independe",2029,2,"2,684","4,127",151,38.55,59.28,2.17,6962,McCain,20.73,Republican
AK,"State House District 30, Lore-Abbott",2030,2,"3,486","5,500",197,37.96,59.89,2.15,9183,McCain,21.93,Republican
AK,"State House District 24, Midtown-Taku",2024,2,"3,380","4,127",181,43.96,53.68,2.35,7688,McCain,9.72,Republican
AK,"State House District 20, Mountain View-Wond",2020,2,"2,474","2,536",128,48.15,49.36,2.49,5138,McCain,1.21,Republican
AK,"State House District 22, University-Airport",2022,2,"3,337","3,109",188,50.3,46.86,2.83,6634,Obama,3.44,Democrat
AK,"State House District 27, Sand Lake",2027,2,"3,130","5,159",209,36.83,60.71,2.46,8498,McCain,23.88,Republican
AK,"State House District 21, Baxter Bog",2021,2,"3,647","4,837",191,42.04,55.76,2.2,8675,McCain,13.72,Republican
AK,"State House District 23, Downtown-Rogers Pa",2023,2,"4,075","2,808",199,57.54,39.65,2.81,7082,Obama,17.89,Democrat
AK,"State House District 28, Bayshore-Klatt",2028,2,"3,642","5,953",197,37.19,60.79,2.01,9792,McCain,23.6,Republican
AK,"State House District 32, Chugach State Park",2032,2,"5,176","6,867",264,42.06,55.8,2.15,12307,McCain,13.74,Republican
AK,"State House District 19, Muldoon",2019,2,"3,095","4,106",171,41.98,55.7,2.32,7372,McCain,13.72,Republican
AK,"State House District 26, Turnagain-Inlet Vi",2026,2,"4,472","4,037",186,51.43,46.43,2.14,8695,Obama,5,Democrat
AK,"State House District 36, Kodiak",2036,2,"2,264","4,201",208,33.93,62.96,3.12,6673,McCain,29.03,Republican
AK,"State House District 38, Bethel",2038,2,"2,549","2,056",215,52.88,42.66,4.46,4820,Obama,10.22,Democrat
AK,"State House District 33, Kenai-Soldotna",2033,2,"2,089","6,571",249,23.45,73.76,2.79,8909,McCain,50.31,Republican
AK,"State House District 35, Homer-Seward",2035,2,"4,254","4,959",290,44.76,52.18,3.05,9503,McCain,7.42,Republican
AK,"State House District 34, Rural Kenai",2034,2,"1,920","7,358",270,20.11,77.06,2.83,9548,McCain,56.95,Republican
AK,"State House District 9, City of Fairbanks",2009,2,"2,805","4,141",197,39.27,57.97,2.76,7143,McCain,18.7,Republican
AK,"State House District 10, Fairbanks-Fort Wai",2010,2,"2,074","3,392",149,36.94,60.41,2.65,5615,McCain,23.47,Republican
AK,"State House District 11, North Pole",2011,2,"1,924","7,736",206,19.5,78.41,2.09,9866,McCain,58.91,Republican
AK,"State House District 7, Farmers Loop-Steese",2007,2,"4,283","6,297",314,39.32,57.8,2.88,10894,McCain,18.48,Republican
AK,"State House District 5, Cordova-Southeast I",2005,2,"3,393","3,426",304,47.63,48.1,4.27,7123,McCain,0.47,Republican
AK,"State House District 1, Ketchikan",2001,2,"2,597","4,149",224,37.26,59.53,3.21,6970,McCain,22.27,Republican
MN,Lake of the Woods County,27077,27,971,"1,278",64,41.98,55.25,2.77,2313,McCain,13.27,Republican
WA,,53000,53,,,,,,,,McCain,0,Republican
WA,Whatcom County,53073,53,"58,236","40,205","1,898",58.04,40.07,1.89,100339,Obama,17.97,Democrat
WA,Whatcom County,53073,53,"58,236","40,205","1,898",58.04,40.07,1.89,100339,Obama,17.97,Democrat
MT,Valley County,30105,30,"1,645","2,121",145,42.06,54.23,3.71,3911,McCain,12.17,Republican
MT,Flathead County,30029,30,"16,138","25,559","2,017",36.92,58.47,4.61,43714,McCain,21.55,Republican
ID,Boundary County,16021,16,"1,484","3,078",171,31.35,65.03,3.61,4733,McCain,33.68,Republican
MT,Phillips County,30071,30,638,"1,423",62,30.05,67.03,2.92,2123,McCain,36.98,Republican
ND,Rolette County,38079,38,"3,403","1,045",86,75.06,23.05,1.9,4534,Obama,52.01,Democrat
MT,Lincoln County,30053,30,"3,025","5,704",498,32.78,61.82,5.4,9227,McCain,29.04,Republican
ND,Bottineau County,38009,38,"1,387","2,059",70,39.45,58.56,1.99,3516,McCain,19.11,Republican
MT,Glacier County,30035,30,"3,423","1,451",96,68.87,29.2,1.93,4970,Obama,39.67,Democrat
MT,Hill County,30041,30,"3,596","2,787",241,54.29,42.07,3.64,6624,Obama,12.22,Democrat
MT,Blaine County,30005,30,"1,702","1,139",83,58.21,38.95,2.84,2924,Obama,19.26,Democrat
MT,Daniels County,30019,30,343,694,36,31.97,64.68,3.36,1073,McCain,32.71,Republican
ND,Pembina County,38067,38,"1,494","1,722",91,45.18,52.07,2.75,3307,McCain,6.89,Republican
MN,Kittson County,27069,27,"1,492","1,016",60,58.1,39.56,2.34,2568,Obama,18.54,Democrat
ND,Towner County,38095,38,621,536,40,51.88,44.78,3.34,1197,Obama,7.1,Democrat
ND,Cavalier County,38019,38,930,"1,128",72,43.66,52.96,3.38,2130,McCain,9.3,Republican
WA,Okanogan County,53047,53,"7,613","8,798",459,45.13,52.15,2.72,16870,McCain,7.02,Republican
WA,Stevens County,53065,53,"8,499","13,132",710,38.04,58.78,3.18,22341,McCain,20.74,Republican
WA,Pend Oreille County,53051,53,"2,562","3,717",273,39.1,56.73,4.17,6552,McCain,17.63,Republican
WA,Ferry County,53019,53,"1,467","1,916",118,41.9,54.73,3.37,3501,McCain,12.83,Republican
MT,Liberty County,30051,30,367,594,40,36.66,59.34,4,1001,McCain,22.68,Republican
ND,Divide County,38023,38,464,630,37,41.03,55.7,3.27,1131,McCain,14.67,Republican
ND,Burke County,38013,38,286,640,17,30.33,67.87,1.8,943,McCain,37.54,Republican
MT,Toole County,30101,30,737,"1,317",67,34.75,62.09,3.16,2121,McCain,27.34,Republican
ND,Renville County,38075,38,505,799,42,37.52,59.36,3.12,1346,McCain,21.84,Republican
MN,Roseau County,27135,27,"3,097","4,438",165,40.22,57.64,2.14,7700,McCain,17.42,Republican
MT,Sheridan County,30091,30,953,987,66,47.51,49.2,3.29,2006,McCain,1.69,Republican
ID,Bonner County,16017,16,"7,840","11,145",562,40.11,57.02,2.88,19547,McCain,16.91,Republican
ND,Ward County,38101,38,"10,144","15,061",416,39.59,58.78,1.62,25621,McCain,19.19,Republican
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,Whatcom County,53073,53,"58,236","40,205","1,898",58.04,40.07,1.89,100339,Obama,17.97,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,Whatcom County,53073,53,"58,236","40,205","1,898",58.04,40.07,1.89,100339,Obama,17.97,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
MN,Koochiching County,27071,27,"3,649","2,962",191,53.65,43.55,2.81,6802,Obama,10.1,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,Skagit County,53057,53,"30,053","24,687","1,146",53.78,44.17,2.05,55886,Obama,9.61,Democrat
WA,Whatcom County,53073,53,"58,236","40,205","1,898",58.04,40.07,1.89,100339,Obama,17.97,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
ND,Williams County,38105,38,"2,921","6,291",161,31.16,67.12,1.72,9373,McCain,35.96,Republican
ND,McHenry County,38049,38,981,"1,374",61,40.6,56.87,2.52,2416,McCain,16.27,Republican
MN,Saint Louis County,27137,27,"77,351","38,742","2,721",65.1,32.61,2.29,118814,Obama,32.49,Democrat
WA,Skagit County,53057,53,"30,053","24,687","1,146",53.78,44.17,2.05,55886,Obama,9.61,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,Skagit County,53057,53,"30,053","24,687","1,146",53.78,44.17,2.05,55886,Obama,9.61,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,Skagit County,53057,53,"30,053","24,687","1,146",53.78,44.17,2.05,55886,Obama,9.61,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
WA,San Juan County,53055,53,"7,374","2,958",199,70.02,28.09,1.89,10531,Obama,41.93,Democrat
