State_FIPS,FIPS,Name,Year,Unemployment
1,1001,"Autauga County, AL",2004,4.8
1,1003,"Baldwin County, AL",2004,5.2
1,1005,"Barbour County, AL",2004,7.2
1,1007,"Bibb County, AL",2004,5.5
1,1009,"Blount County, AL",2004,4.2
1,1011,"Bullock County, AL",2004,11.6
1,1013,"Butler County, AL",2004,9.5
1,1015,"Calhoun County, AL",2004,5.5
1,1017,"Chambers County, AL",2004,7
1,1019,"Cherokee County, AL",2004,4.8
1,1021,"Chilton County, AL",2004,4.7
1,1023,"Choctaw County, AL",2004,8.6
1,1025,"Clarke County, AL",2004,8.9
1,1027,"Clay County, AL",2004,6.4
1,1029,"Cleburne County, AL",2004,5.3
1,1031,"Coffee County, AL",2004,5.4
1,1033,"Colbert County, AL",2004,7.1
1,1035,"Conecuh County, AL",2004,8.5
1,1037,"Coosa County, AL",2004,7.1
1,1039,"Covington County, AL",2004,6.7
1,1041,"Crenshaw County, AL",2004,6.9
1,1043,"Cullman County, AL",2004,5.2
1,1045,"Dale County, AL",2004,5.4
1,1047,"Dallas County, AL",2004,10.1
1,1049,"DeKalb County, AL",2004,5.8
1,1051,"Elmore County, AL",2004,4.9
1,1053,"Escambia County, AL",2004,7.6
1,1055,"Etowah County, AL",2004,6.4
1,1057,"Fayette County, AL",2004,6.9
1,1059,"Franklin County, AL",2004,7
1,1061,"Geneva County, AL",2004,4.9
1,1063,"Greene County, AL",2004,8.8
1,1065,"Hale County, AL",2004,7.6
1,1067,"Henry County, AL",2004,5.6
1,1069,"Houston County, AL",2004,4.7
1,1071,"Jackson County, AL",2004,6.9
1,1073,"Jefferson County, AL",2004,5.3
1,1075,"Lamar County, AL",2004,8.2
1,1077,"Lauderdale County, AL",2004,6.4
1,1079,"Lawrence County, AL",2004,6.4
1,1081,"Lee County, AL",2004,4.5
1,1083,"Limestone County, AL",2004,5.2
1,1085,"Lowndes County, AL",2004,9.3
1,1087,"Macon County, AL",2004,7
1,1089,"Madison County, AL",2004,4.7
1,1091,"Marengo County, AL",2004,6.2
1,1093,"Marion County, AL",2004,6.4
1,1095,"Marshall County, AL",2004,4.9
1,1097,"Mobile County, AL",2004,6.6
1,1099,"Monroe County, AL",2004,7.5
1,1101,"Montgomery County, AL",2004,5.8
1,1103,"Morgan County, AL",2004,6.1
1,1105,"Perry County, AL",2004,10.2
1,1107,"Pickens County, AL",2004,7.6
1,1109,"Pike County, AL",2004,5.4
1,1111,"Randolph County, AL",2004,6.8
1,1113,"Russell County, AL",2004,6.6
1,1115,"St. Clair County, AL",2004,5
1,1117,"Shelby County, AL",2004,3.4
1,1119,"Sumter County, AL",2004,9.6
1,1121,"Talladega County, AL",2004,6.8
1,1123,"Tallapoosa County, AL",2004,6.2
1,1125,"Tuscaloosa County, AL",2004,4.8
1,1127,"Walker County, AL",2004,6.1
1,1129,"Washington County, AL",2004,9.6
1,1131,"Wilcox County, AL",2004,12.1
1,1133,"Winston County, AL",2004,7.3
2,2013,"Aleutians East Borough, AK",2004,8.6
2,2016,"Aleutians West Census Area, AK",2004,6.5
2,2020,"Anchorage Borough/municipality, AK",2004,5.9
2,2050,"Bethel Census Area, AK",2004,12.7
2,2060,"Bristol Bay Borough, AK",2004,6.3
2,2068,"Denali Borough, AK",2004,7.9
2,2070,"Dillingham Census Area, AK",2004,10.9
2,2090,"Fairbanks North Star Borough, AK",2004,6.5
2,2100,"Haines Borough, AK",2004,9.9
2,2110,"Juneau Borough/city, AK",2004,5.9
2,2122,"Kenai Peninsula Borough, AK",2004,9.6
2,2130,"Ketchikan Gateway Borough, AK",2004,7.5
2,2150,"Kodiak Island Borough, AK",2004,8.8
2,2158,"Kusilvak Census Area, AK",2004,20.2
2,2164,"Lake and Peninsula Borough, AK",2004,9.8
2,2170,"Matanuska-Susitna Borough, AK",2004,8.4
2,2180,"Nome Census Area, AK",2004,11.7
2,2185,"North Slope Borough, AK",2004,10.2
2,2188,"Northwest Arctic Borough, AK",2004,13.3
2,2201,"Prince of Wales-Outer Ketchikan Census Area, AK",2004,13.6
2,2220,"Sitka Borough/city, AK",2004,6.3
2,2232,"Skagway-Hoonah-Angoon Census Area, AK",2004,13.3
2,2240,"Southeast Fairbanks Census Area, AK",2004,12
2,2261,"Valdez-Cordova Census Area, AK",2004,10
2,2280,"Wrangell-Petersburg Census Area, AK",2004,12.4
2,2282,"Yakutat Borough/city, AK",2004,10.8
2,2290,"Yukon-Koyukuk Census Area, AK",2004,12
4,4001,"Apache County, AZ",2004,11.5
4,4003,"Cochise County, AZ",2004,5
4,4005,"Coconino County, AZ",2004,5.4
4,4007,"Gila County, AZ",2004,6.4
4,4009,"Graham County, AZ",2004,6.7
4,4011,"Greenlee County, AZ",2004,5.2
4,4012,"La Paz County, AZ",2004,6.7
4,4013,"Maricopa County, AZ",2004,4.4
4,4015,"Mohave County, AZ",2004,4.4
4,4017,"Navajo County, AZ",2004,8.6
4,4019,"Pima County, AZ",2004,4.7
4,4021,"Pinal County, AZ",2004,6
4,4023,"Santa Cruz County, AZ",2004,9.6
4,4025,"Yavapai County, AZ",2004,4.6
4,4027,"Yuma County, AZ",2004,15.8
5,5001,"Arkansas County, AR",2004,6
5,5003,"Ashley County, AR",2004,9.5
5,5005,"Baxter County, AR",2004,6.2
5,5007,"Benton County, AR",2004,3.6
5,5009,"Boone County, AR",2004,5.9
5,5011,"Bradley County, AR",2004,7.7
5,5013,"Calhoun County, AR",2004,6.8
5,5015,"Carroll County, AR",2004,4.9
5,5017,"Chicot County, AR",2004,11
5,5019,"Clark County, AR",2004,6.2
5,5021,"Clay County, AR",2004,8.1
5,5023,"Cleburne County, AR",2004,5.4
5,5025,"Cleveland County, AR",2004,6.7
5,5027,"Columbia County, AR",2004,6.5
5,5029,"Conway County, AR",2004,5.8
5,5031,"Craighead County, AR",2004,5.5
5,5033,"Crawford County, AR",2004,5.2
5,5035,"Crittenden County, AR",2004,6.9
5,5037,"Cross County, AR",2004,8.1
5,5039,"Dallas County, AR",2004,7.5
5,5041,"Desha County, AR",2004,9.1
5,5043,"Drew County, AR",2004,7.9
5,5045,"Faulkner County, AR",2004,5
5,5047,"Franklin County, AR",2004,4.8
5,5049,"Fulton County, AR",2004,6.1
5,5051,"Garland County, AR",2004,6.2
5,5053,"Grant County, AR",2004,5.5
5,5055,"Greene County, AR",2004,6.2
5,5057,"Hempstead County, AR",2004,5.9
5,5059,"Hot Spring County, AR",2004,6.1
5,5061,"Howard County, AR",2004,6
5,5063,"Independence County, AR",2004,6.3
5,5065,"Izard County, AR",2004,7
5,5067,"Jackson County, AR",2004,8.7
5,5069,"Jefferson County, AR",2004,7.9
5,5071,"Johnson County, AR",2004,5.4
5,5073,"Lafayette County, AR",2004,7.2
5,5075,"Lawrence County, AR",2004,8.1
5,5077,"Lee County, AR",2004,11.3
5,5079,"Lincoln County, AR",2004,7.7
5,5081,"Little River County, AR",2004,4.9
5,5083,"Logan County, AR",2004,5.4
5,5085,"Lonoke County, AR",2004,4.7
5,5087,"Madison County, AR",2004,4.1
5,5089,"Marion County, AR",2004,6
5,5091,"Miller County, AR",2004,4.9
5,5093,"Mississippi County, AR",2004,10
5,5095,"Monroe County, AR",2004,7.1
5,5097,"Montgomery County, AR",2004,5.4
5,5099,"Nevada County, AR",2004,6
5,5101,"Newton County, AR",2004,6.2
5,5103,"Ouachita County, AR",2004,6.9
5,5105,"Perry County, AR",2004,5.7
5,5107,"Phillips County, AR",2004,9.1
5,5109,"Pike County, AR",2004,5.5
5,5111,"Poinsett County, AR",2004,6.4
5,5113,"Polk County, AR",2004,6
5,5115,"Pope County, AR",2004,5.4
5,5117,"Prairie County, AR",2004,5.3
5,5119,"Pulaski County, AR",2004,5.2
5,5121,"Randolph County, AR",2004,8.3
5,5123,"St. Francis County, AR",2004,9.3
5,5125,"Saline County, AR",2004,4.6
5,5127,"Scott County, AR",2004,5.2
5,5129,"Searcy County, AR",2004,5.7
5,5131,"Sebastian County, AR",2004,4.8
5,5133,"Sevier County, AR",2004,4.6
5,5135,"Sharp County, AR",2004,7.9
5,5137,"Stone County, AR",2004,7.5
5,5139,"Union County, AR",2004,7.4
5,5141,"Van Buren County, AR",2004,7
5,5143,"Washington County, AR",2004,3.8
5,5145,"White County, AR",2004,6.4
5,5147,"Woodruff County, AR",2004,10
5,5149,"Yell County, AR",2004,5.1
6,6001,"Alameda County, CA",2004,5.9
6,6003,"Alpine County, CA",2004,8.1
6,6005,"Amador County, CA",2004,5.8
6,6007,"Butte County, CA",2004,7.4
6,6009,"Calaveras County, CA",2004,6.8
6,6011,"Colusa County, CA",2004,13.6
6,6013,"Contra Costa County, CA",2004,5.4
6,6015,"Del Norte County, CA",2004,8
6,6017,"El Dorado County, CA",2004,5.3
6,6019,"Fresno County, CA",2004,10.4
6,6021,"Glenn County, CA",2004,9.3
6,6023,"Humboldt County, CA",2004,6.5
6,6025,"Imperial County, CA",2004,17
6,6027,"Inyo County, CA",2004,5.3
6,6029,"Kern County, CA",2004,9.9
6,6031,"Kings County, CA",2004,11
6,6033,"Lake County, CA",2004,9
6,6035,"Lassen County, CA",2004,7.6
6,6037,"Los Angeles County, CA",2004,6.5
6,6039,"Madera County, CA",2004,9.1
6,6041,"Marin County, CA",2004,4.4
6,6043,"Mariposa County, CA",2004,6.7
6,6045,"Mendocino County, CA",2004,6.4
6,6047,"Merced County, CA",2004,10.9
6,6049,"Modoc County, CA",2004,8.7
6,6051,"Mono County, CA",2004,5
6,6053,"Monterey County, CA",2004,8.3
6,6055,"Napa County, CA",2004,4.7
6,6057,"Nevada County, CA",2004,5.3
6,6059,"Orange County, CA",2004,4.2
6,6061,"Placer County, CA",2004,4.8
6,6063,"Plumas County, CA",2004,9.8
6,6065,"Riverside County, CA",2004,6
6,6067,"Sacramento County, CA",2004,5.6
6,6069,"San Benito County, CA",2004,9.5
6,6071,"San Bernardino County, CA",2004,5.7
6,6073,"San Diego County, CA",2004,4.7
6,6075,"San Francisco County/city, CA",2004,5.8
6,6077,"San Joaquin County, CA",2004,8.7
6,6079,"San Luis Obispo County, CA",2004,4.6
6,6081,"San Mateo County, CA",2004,4.8
6,6083,"Santa Barbara County, CA",2004,4.7
6,6085,"Santa Clara County, CA",2004,6.4
6,6087,"Santa Cruz County, CA",2004,7
6,6089,"Shasta County, CA",2004,7.6
6,6091,"Sierra County, CA",2004,9.7
6,6093,"Siskiyou County, CA",2004,9.4
6,6095,"Solano County, CA",2004,5.8
6,6097,"Sonoma County, CA",2004,4.9
6,6099,"Stanislaus County, CA",2004,9.2
6,6101,"Sutter County, CA",2004,10.6
6,6103,"Tehama County, CA",2004,7.4
6,6105,"Trinity County, CA",2004,10.9
6,6107,"Tulare County, CA",2004,11.6
6,6109,"Tuolumne County, CA",2004,6.9
6,6111,"Ventura County, CA",2004,5.3
6,6113,"Yolo County, CA",2004,6.1
6,6115,"Yuba County, CA",2004,9.7
8,8001,"Adams County, CO",2004,6.4
8,8003,"Alamosa County, CO",2004,5.8
8,8005,"Arapahoe County, CO",2004,5.5
8,8007,"Archuleta County, CO",2004,5.4
8,8009,"Baca County, CO",2004,3.6
